set_id,series_name,db_code,db_name,scrydex_id,scrydex_url,candidate_ids,status
ee238a8d-c6b6-447c-a8dd-8a77eb478576,ソード・シールド,SLL,スターターデッキセット ルカリオVSTAR,,,,UNRESOLVED_SET
5a12a468-c360-42f8-af2f-db5052c26a48,ソード・シールド,SLD,スターターデッキセット ダークライVSTAR,,,,UNRESOLVED_SET
68a3a158-761d-4ef2-8e9c-27b04693d68c,ソード・シールド,SN,スタートデッキ コロコロコミックver,,,,UNRESOLVED_SET
da7d6402-877d-45f6-a928-af39c2fb9ecc,ソード・シールド,SP6,VSTARスペシャルセット,,,,UNRESOLVED_SET
9d85b87f-9b69-40c1-8bb5-f19894c8bca6,ソード・シールド,SPD,VSTAR&VMAX ハイクラスデッキ デオキシス,,,,UNRESOLVED_SET
f50726a7-f438-4c7a-b857-f2675d2604a7,ソード・シールド,SPZ,VSTAR&VMAX ハイクラスデッキ ゼラオラ,,,,UNRESOLVED_SET
54450e62-c2ee-4136-b175-6191e3a2acfc,ソード・シールド,S10a,ダークファンタズマ,swsh10a_ja,https://scrydex.com/pokemon/expansions/dark-phantasma/swsh10a_ja,swsh10a_ja,MAPPED
6e0a46c7-e469-4972-ba98-131cf67c7c94,ソード・シールド,S10P,スペースジャグラー,swsh10p_ja,https://scrydex.com/pokemon/expansions/space-juggler/swsh10p_ja,swsh10p_ja,MAPPED
ca93c4b2-7d37-4881-9306-c30f64a19b88,ソード・シールド,S11,ロストアビス,swsh11_ja,https://scrydex.com/pokemon/expansions/lost-abyss/swsh11_ja,swsh11_ja,MAPPED
012908fb-007c-486d-85ba-d2fcf10d833d,ソード・シールド,S11a,白熱のアルカナ,swsh11a_ja,https://scrydex.com/pokemon/expansions/incandescent-arcana/swsh11a_ja,swsh11a_ja,MAPPED
248d92ee-d69e-493d-9d4b-0960134db32f,ソード・シールド,S12,パラダイムトリガー,swsh12_ja,https://scrydex.com/pokemon/expansions/paradigm-trigger/swsh12_ja,swsh12_ja,MAPPED
8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,ソード・シールド,S12a,VSTARユニバース,swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja,swsh12a_ja,MAPPED
8cce95a2-f537-4156-907d-f331ce13b5d6,ソード・シールド,S5I,一撃マスター,swsh5i_ja,https://scrydex.com/pokemon/expansions/single-strike-master/swsh5i_ja,swsh5i_ja,MAPPED
ec2d763e-ea05-4f77-ade2-b439f60a2adb,ソード・シールド,S6H,白銀のランス,swsh6h_ja,https://scrydex.com/pokemon/expansions/silver-lance/swsh6h_ja,swsh6h_ja,MAPPED
c56a482d-7434-4e00-bc54-16c38f187c4e,ソード・シールド,S6K,漆黒のガイスト,swsh6k_ja,https://scrydex.com/pokemon/expansions/jet-black-spirit/swsh6k_ja,swsh6k_ja,MAPPED
b86a7ec9-e8f7-4f8c-b4e4-757e2f1d54f6,ソード・シールド,S7D,摩天パーフェクト,swsh7d_ja,https://scrydex.com/pokemon/expansions/skyscraping-perfection/swsh7d_ja,swsh7d_ja,MAPPED
a945665e-c81a-4c03-924d-624a07458341,ソード・シールド,S8,フュージョンアーツ,swsh8_ja,https://scrydex.com/pokemon/expansions/fusion-arts/swsh8_ja,swsh8_ja,MAPPED
80bdd6cc-3aa6-4299-b5b1-43a5f80af030,ソード・シールド,S8b,VMAXクライマックス,swsh8b_ja,https://scrydex.com/pokemon/expansions/vmax-climax/swsh8b_ja,swsh8b_ja,MAPPED
012f4320-fb6b-4541-b502-a185ca139451,ソード・シールド,S9,スターバース,swsh9_ja,https://scrydex.com/pokemon/expansions/star-birth/swsh9_ja,swsh9_ja,MAPPED
0380eb72-bbcd-401c-ba09-fec23007efa7,ソード・シールド,S9a,バトルリージョン,swsh9a_ja,https://scrydex.com/pokemon/expansions/battle-region/swsh9a_ja,swsh9a_ja,MAPPED
94db240f-1949-4c1e-9b92-12425aa31573,SMシリーズ,SM10,ダブルブレイズ,sm10_ja,https://scrydex.com/pokemon/expansions/double-blaze/sm10_ja,sm10_ja,MAPPED
4fc047cb-d0d5-4086-b6dd-8f0b1d5dad42,SMシリーズ,SM10a,ジージーエンド,sm10a_ja,https://scrydex.com/pokemon/expansions/gg-end/sm10a_ja,sm10a_ja,MAPPED
03ce403b-f7de-460e-931e-27de38cd44ca,SMシリーズ,SM10b,スカイレジェンド,sm10b_ja,https://scrydex.com/pokemon/expansions/sky-legend/sm10b_ja,sm10b_ja,MAPPED
14496d8f-d11f-4779-bc03-b5a0e25a8a4b,SMシリーズ,SM11,ミラクルツイン,sm11_ja,https://scrydex.com/pokemon/expansions/miracle-twin/sm11_ja,sm11_ja,MAPPED
