set_code,set_name,number,db_card_number,db_name,db_rarity,db_image_url,found_in_scrydex
SV4a,シャイニートレジャーex,18,018,ノノクラゲ,,https://images.scrydex.com/pokemon/sv4a_ja-18/medium,YES
SV4a,シャイニートレジャーex,19,019,リククラゲex,RR,https://images.scrydex.com/pokemon/sv4a_ja-19/medium,YES
SV4a,シャイニートレジャーex,20,020,カプサイジ,,https://images.scrydex.com/pokemon/sv4a_ja-20/medium,YES
SV4a,シャイニートレジャーex,21,021,スコヴィラン,,https://images.scrydex.com/pokemon/sv4a_ja-21/medium,YES
SV4a,シャイニートレジャーex,22,022,シガロコ,,https://images.scrydex.com/pokemon/sv4a_ja-22/medium,YES
SV4a,シャイニートレジャーex,23,023,クエスパトラex,RR,https://images.scrydex.com/pokemon/sv4a_ja-23/medium,YES
SV4a,シャイニートレジャーex,24,024,チオンジェンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-24/medium,YES
SV4a,シャイニートレジャーex,25,025,ヒトカゲ,,https://images.scrydex.com/pokemon/sv4a_ja-25/medium,YES
SV4a,シャイニートレジャーex,26,026,リザード,,https://images.scrydex.com/pokemon/sv4a_ja-26/medium,YES
SV4a,シャイニートレジャーex,27,027,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-27/medium,YES
SV4a,シャイニートレジャーex,28,028,エンテイ,,https://images.scrydex.com/pokemon/sv4a_ja-28/medium,YES
SV4a,シャイニートレジャーex,29,029,オドリドリ,,https://images.scrydex.com/pokemon/sv4a_ja-29/medium,YES
SV4a,シャイニートレジャーex,30,030,ホゲータ,,https://images.scrydex.com/pokemon/sv4a_ja-30/medium,YES
SV4a,シャイニートレジャーex,31,031,アチゲータ,,https://images.scrydex.com/pokemon/sv4a_ja-31/medium,YES
SV4a,シャイニートレジャーex,32,032,ラウドボーンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-32/medium,YES
SV4a,シャイニートレジャーex,33,033,カルボウ,,https://images.scrydex.com/pokemon/sv4a_ja-33/medium,YES
SV4a,シャイニートレジャーex,34,034,グレンアルマ,,https://images.scrydex.com/pokemon/sv4a_ja-34/medium,YES
SV4a,シャイニートレジャーex,35,035,イーユイex,RR,https://images.scrydex.com/pokemon/sv4a_ja-35/medium,YES
SV4a,シャイニートレジャーex,36,036,ヤドン,,https://images.scrydex.com/pokemon/sv4a_ja-36/medium,YES
SV4a,シャイニートレジャーex,37,037,ヤドラン,,https://images.scrydex.com/pokemon/sv4a_ja-37/medium,YES
SV4a,シャイニートレジャーex,38,038,ヒトデマン,,https://images.scrydex.com/pokemon/sv4a_ja-38/medium,YES
SV4a,シャイニートレジャーex,39,039,スターミー,,https://images.scrydex.com/pokemon/sv4a_ja-39/medium,YES
SV4a,シャイニートレジャーex,40,040,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-40/medium,YES
SV4a,シャイニートレジャーex,41,041,クワッス,,https://images.scrydex.com/pokemon/sv4a_ja-41/medium,YES
SV4a,シャイニートレジャーex,42,042,ウェルカモ,,https://images.scrydex.com/pokemon/sv4a_ja-42/medium,YES
SV4a,シャイニートレジャーex,43,043,ウェーニバルex,RR,https://images.scrydex.com/pokemon/sv4a_ja-43/medium,YES
SV4a,シャイニートレジャーex,44,044,ウミディグダ,,https://images.scrydex.com/pokemon/sv4a_ja-44/medium,YES
SV4a,シャイニートレジャーex,45,045,ウミトリオ,,https://images.scrydex.com/pokemon/sv4a_ja-45/medium,YES
SV4a,シャイニートレジャーex,46,046,ナミイルカ,,https://images.scrydex.com/pokemon/sv4a_ja-46/medium,YES
SV4a,シャイニートレジャーex,47,047,イルカマン,,https://images.scrydex.com/pokemon/sv4a_ja-47/medium,YES
