id,name,code,release_date,created_at,tcgdex_series_id,series_name,image_url
1c1a1180-1e54-4bf3-8190-aae30760405a,闇、そして光へ...,neo4,2001-04-20,2026-08-28 04:31:01.178488+00:00,neo,旧裏・e・VS,
3bf48092-68bf-4b4f-9e2f-7aab8ea7e83e,スペシャルデッキセット ザシアン・ザマゼンタ vs ムゲンダイナ,SJ,,2026-08-28 06:28:02.828414+00:00,,ソード・シールド,
cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,ポケモンカードゲーム サン&ムーン 「スターターセット草 ジュナイパーGX」,SMA,,2026-08-28 06:28:02.987899+00:00,,SMシリーズ,
0f0b8f32-db0e-4bf1-9a12-e6692554debb,ポケモンカードゲームXY 拡張パック「コレクションY」,XY1-By,,2026-08-28 06:28:06.875851+00:00,,XYシリーズ,
54b86786-a897-44ce-9b70-68714bd0f345,ポケモンカードゲームXY BREAK 拡張パック「爆熱の闘士」,XY11-Bb,,2026-08-28 06:28:07.033173+00:00,,XYシリーズ,
6ba347c2-db70-4a00-bd67-01f48ceff2f5,ポケモンカードゲームXY 拡張パック「ワイルドブレイズ」,XY2,,2026-08-28 06:28:07.199742+00:00,,XYシリーズ,
c5895636-5372-42da-a880-777a0a52416a,ポケモンカードゲームXY 拡張パック「ファントムゲート」,XY4,,2026-08-28 06:28:07.360206+00:00,,XYシリーズ,
a03039bf-3a15-4b15-9d4f-634488fa9e48,ポケモンカードゲームXY 拡張パック「タイダルストーム」,XY5-Bt,,2026-08-28 06:28:07.515547+00:00,,XYシリーズ,
705e526d-2388-4abf-987e-3f6d015e536a,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,XY6-B,,2026-08-28 06:28:07.684846+00:00,,XYシリーズ,
523bcbf0-8655-4701-9a72-c82b0b0ca55e,ポケモンカードゲームXY 拡張パック「バンデットリング」,XY7-B,,2026-08-28 06:28:07.840373+00:00,,XYシリーズ,
ef6bc45c-08a8-4349-8017-1717b108d3c8,ポケモンカードゲームXY BREAK　拡張パック「赤い閃光」,XY8-Br,,2026-08-28 06:28:07.991836+00:00,,XYシリーズ,
28315e22-5885-4440-aa0d-81a8d9716dc6,ポケモンカードゲームXY メガバトルデッキ60「リザードンEX」,XYA,,2026-08-28 06:28:08.143140+00:00,,XYシリーズ,
ecaea609-ab89-4eb0-aa2e-d0d7fab738d4,ポケモンカードゲームXY スーパーレジェンドセット60「ゼルネアスEX・イベルタルEX」,XYC,,2026-08-28 06:28:08.295559+00:00,,XYシリーズ,
c0245308-aae6-4388-b35e-7689b1474012,ポケモンカードゲームXY 対戦スタートセット30「エンブオーEX VS トゲキッスEX」,XYE,,2026-08-28 06:28:08.453645+00:00,,XYシリーズ,
c30e7880-7111-4fd4-9dfb-613549500b15,メガブレイブ,M1L,2025-08-01,2026-08-28 04:30:56.930539+00:00,M,MEGA,
bb5ea6a8-b589-4396-acf7-cc1e3f8dc700,拡張パック ホロンの研究塔,PCG6,2005-10-28,2026-08-28 04:31:02.786007+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG6%20Holon%20Research%20Tower%20pack.jpg
3ce9972f-bcba-446b-a9db-53f20f80398e,拡張パック ホロンの幻影,PCG7,2006-01-27,2026-08-28 04:31:03.044661+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG7%20Holon%20Phantom%20pack.jpg
2193cd1a-da9a-4dd1-842b-685b15b64583,拡張パック きせきの結晶,PCG8,2006-03-10,2026-08-28 04:31:03.285783+00:00,PCG,ADV・PCGシリーズ,https://archives.bulbagarden.net/wiki/Special:Redirect/file/PCG8%20Miracle%20Crystal%20pack.jpg
